Essay,Date,Author,Title
ANTIFEDERALIST No. 49,"November 27, 1787",AN OLD WHIG,ON CONSTITUTIONAL CONVENTIONS (PART I)
ANTIFEDERALIST No. 50,"November 28, 1787",AN OLD WHIG,ON CONSTITUTIONAL CONVENTIONS (PART II)
ANTIFEDERALIST No. 51,"March 15, 1788",ARISTOCROTIS,DO CHECKS AND BALANCES REALLY SECURE THE RIGHTS OF THE PEOPLE?
ANTIFEDERALIST No. 52,"April 9, 1788","ARMS, MAYNARD, FIELD",ON THE GUARANTEE OF CONGRESSIONAL BIENNIAL ELECTIONS
ANTIFEDERALIST No. 53,"August 28, 1788",AMICUS,A PLEA FOR THE RIGHT OF RECALL
ANTIFEDERALIST No. 54,"November 15, 1787",VARIOUS,PPORTIONMENT AND SLAVERY: NORTHERN AND SOUTHERN VIEWS
ANTIFEDERALIST No. 55,"January 15, 1788",A FEDERAL FARMER,WILL THE HOUSE OF REPRESENTATIVES BE GENUINELY REPRESENTATIVE? (PART I)
ANTIFEDERALIST No. 56,"January 15, 1788",A FEDERAL FARMER,WILL THE HOUSE OF REPRESENTATIVES BE GENUINELY REPRESENTATIVE? (PART II)
ANTIFEDERALIST No. 57,"January 15, 1788",A FEDERAL FARMER,WILL THE HOUSE OF REPRESENTATIVES BE GENUINELY REPRESENTATIVE? (PART III)
ANTIFEDERALIST No. 58,"January 15, 1788",A FEDERAL FARMER,WILL THE HOUSE OF REPRESENTATIVES BE GENUINELY REPRESENTATIVE? (PART IV)
ANTIFEDERALIST No. 59,"October 30, 1787",VOX POPULI,THE DANGER OF CONGRESSIONAL CONTROL OF ELECTIONS
ANTIFEDERALIST No. 60,"June 6, 1788",MERCER,WILL THE CONSTITUTION PROMOTE THE INTERESTS OF FAVORITE CLASSES?
ANTIFEDERALIST No. 61,"January 15, 1788",A FEDERAL FARMER,QUESTIONS AND COMMENTS ON THE CONSTITUTIONAL PROVISIONS REGARDING THE ELECTION OF CONGRESSMEN
ANTIFEDERALIST No. 62,"April 10, 1788",BRUTUS,ON THE ORGANIZATION AND POWERS OF THE SENATE (PART I)
ANTIFEDERALIST No. 63,"January 15, 1788",A FEDERAL FARMER,ON THE ORGANIZATION AND POWERS OF THE SENATE (PART II)
ANTIFEDERALIST No. 64,"November 22, 1787",CINCINNATUS,ON THE ORGANIZATION AND POWERS OF THE SENATE (PART III)
ANTIFEDERALIST No. 65,"June 24, 1788","LIVINGSTON, LANSING",ON THE ORGANIZATION AND POWERS OF THE SENATE (PART IV)
ANTIFEDERALIST No. 66,"June 15, 1788",VARIOUS,FROM NORTH CAROLINA
ANTIFEDERALIST No. 67,"November 8, 1787",CATO,VARIOUS FEARS CONCERNING THE EXECUTIVE DEPARTMENT
ANTIFEDERALIST No. 68,"June 18, 1788",GRAYSON,ON THE MODE OF ELECTING THE PRESIDENT
ANTIFEDERALIST No. 69,"January 15, 1788",A FEDERAL FARMER,THE CHARACTER OF THE EXECUTIVE OFFICE
ANTIFEDERALIST No. 70,"December 11, 1787",AN OLD WHIG,THE POWERS AND DANGEROUS POTENTIALS OF HIS ELECTED MAJESTY
ANTIFEDERALIST No. 71,"March 13, 1788",VARIOUS,THE PRESIDENTIAL TERM OF OFFICE
ANTIFEDERALIST No. 72,"March 1, 1788",REPUBLICUS,ON THE ELECTORAL COLLEGE; ON REELIGIBILITY OF THE PRESIDENT
ANTIFEDERALIST No. 73,"January 3, 1788",WILLIAM PENN,DOES THE PRESIDENTIAL VETO POWER INFRINGE ON THE SEPARATION OF DEPARTMENTS?
ANTIFEDERALIST No. 74,"April 9, 1788",PHILADELPHIENSIS,THE PRESIDENT AS MILITARY KING
ANTIFEDERALIST No. 75,"February 16, 1788",HAMPDEN,A NOTE PROTESTING THE TREATYMAKING PROVISIONS OF THE CONSTITUTION
ANTIFEDERALIST No. 77,"January 15, 1788",A FEDERAL FARMER,AN ANTI-FEDERALIST VIEW OF THE APPOINTING POWER UNDER THE CONSTITUTION
ANTIFEDERALIST No. 79,"April 10, 1788",BRUTUS,THE POWER OF THE JUDICIARY (PART I)
ANTIFEDERALIST No. 80,"January 31, 1788",BRUTUS,THE POWER OF THE JUDICIARY (PART II)
ANTIFEDERALIST No. 81,"February 28, 1788",BRUTUS,THE POWER OF THE JUDICIARY (PART III)
ANTIFEDERALIST No. 82,"March 20, 1788",BRUTUS,THE POWER OF THE JUDICIARY (PART IV)
ANTIFEDERALIST No. 83,"April 28, 1788",LUTHER MARTIN,THE FEDERAL JUDICIARY AND THE ISSUE OF TRIAL BY JURY
ANTIFEDERALIST No. 84,"April 11, 1788",BRUTUS,ON THE LACK OF A BILL OF RIGHTS
ANTIFEDERALIST No. 85,June 27 1788,A PLEBIAN,CONCLUDING REMARKS: EVILS UNDER CONFEDERATION EXAGGERATED; CONSTITUTION MUST BE DRASTICALLY REVISED BEFORE ADOPTION
